artist,click,pageview,preview,total_events,click_rate
Prabh Gill,3,5,0,8,60.0
Mario Judah,1,6,1,8,16.666666666666664
Betcha,3,3,2,8,100.0
Sublime,2,6,0,8,33.33333333333333
Skrillex,3,4,1,8,75.0
Keyshia Cole,2,6,0,8,33.33333333333333
"YBN Nahmir, Lil Eazzyy",4,4,0,8,100.0
"Boosie Badazz, DaBaby",1,5,2,8,20.0
Zach Bryan,2,6,0,8,33.33333333333333
Tyga,2,6,0,8,33.33333333333333
8D Tunes,4,4,0,8,100.0
Kid Cudi,1,7,0,8,14.285714285714285
SAINt JHN,3,5,0,8,60.0
Ice Cube,0,8,0,8,0.0
Amir Eid,4,4,0,8,100.0
Lil Zay Osama,3,5,0,8,60.0
Lofi Fruits Music,4,4,0,8,100.0
Snoop Dogg,1,6,1,8,16.666666666666664
"Emotional Oranges, Vince Staples",3,4,1,8,75.0
Rio Da Yung Og,3,5,0,8,60.0
Lloyd,2,6,0,8,33.33333333333333
Stanley Okorie,3,5,0,8,60.0
Wallie the Sensei,4,4,0,8,100.0
Lil Wayne,3,5,0,8,60.0
$uicideboy$,2,6,0,8,33.33333333333333
NF,3,4,0,7,75.0
Tom The Mail Man,2,4,1,7,50.0
Lud Foe,2,5,0,7,40.0
Blu DeTiger,2,4,1,7,50.0
khai dreams,1,6,0,7,16.666666666666664
Only The Family,3,4,0,7,75.0
OMB Peezy,2,5,0,7,40.0
Bktherula,3,4,0,7,75.0
Nirvana,2,5,0,7,40.0
"Jason Derulo, Snoop Dogg",1,5,1,7,20.0
KiDi,2,5,0,7,40.0
"plumpy, Très Mortimer, BELMONT BOYS",3,4,0,7,75.0
Rawadeed Shia World,2,5,0,7,40.0
Afroman,1,6,0,7,16.666666666666664
Los Dorados,2,5,0,7,40.0
Ben Platt,3,3,1,7,100.0
"Flo Rida, INNA, Timmy Trumpet",2,4,1,7,50.0
Young Stoner Life,3,4,0,7,75.0
"Rich The Kid, Coi Leray",1,4,2,7,25.0
Eazy-E,3,4,0,7,75.0
Jacky Fontanez,3,3,1,7,100.0
Hunxho,3,4,0,7,75.0
Sarah Cothran,3,4,0,7,75.0
Cookiee Kawaii,2,4,1,7,50.0
"Gryffin, Kyle Reynolds",2,3,2,7,66.66666666666666
Tee Grizzley,2,5,0,7,40.0
Greta Van Fleet,3,4,0,7,75.0
فيصل الساهم,3,4,0,7,75.0
DJ Nelson,2,5,0,7,40.0
Grupo Firme,1,6,0,7,16.666666666666664
John Powell,2,5,0,7,40.0
3Breezy,2,5,0,7,40.0
"Surf Mesa, Bipolar Sunshine",2,4,1,7,50.0
City Girls,0,7,0,7,0.0
Classic Jazz,2,5,0,7,40.0
Upchurch,2,5,0,7,40.0
$ofaygo,2,5,0,7,40.0
Jungle,2,5,0,7,40.0
"Coi Leray, Kodak Black, Mustard",1,5,1,7,20.0
Happy Birthday,1,6,0,7,16.666666666666664
Sech,2,5,0,7,40.0
"DJ Snake, Rick Ross, Rich Brian",3,4,0,7,75.0
Sheff G,2,5,0,7,40.0
Daddy Yankee,3,4,0,7,75.0
BØRNS,3,4,0,7,75.0
Joel Beukers,3,4,0,7,75.0
Action Pack,3,3,0,6,100.0
El Alfa,2,4,0,6,50.0
Lakeyah,2,4,0,6,50.0
Steve Lacy,2,4,0,6,50.0
Autumn!,2,4,0,6,50.0
BabySantana,2,4,0,6,50.0
Lil Keed,2,4,0,6,50.0
Banda MS de Sergio Lizárraga,2,4,0,6,50.0
BigWalkDog,2,4,0,6,50.0
"WILLOW, Avril Lavigne, Travis Barker",3,3,0,6,100.0
Big Sean,0,6,0,6,0.0
Ayo & Teo,1,4,1,6,25.0
Money Musik,2,4,0,6,50.0
Don Omar,2,4,0,6,50.0
Quando Rondo,2,4,0,6,50.0
Eric Bellinger,3,3,0,6,100.0
Lonely God,2,4,0,6,50.0
Blake Shelton,2,4,0,6,50.0
Calibre 50,1,5,0,6,20.0
Relaxing Music,2,4,0,6,50.0
Talking Heads,2,4,0,6,50.0
Lil 2z,2,4,0,6,50.0
sadir jubein,2,4,0,6,50.0
DJ BOU TOUREQ,1,5,0,6,20.0
Thundercat,1,5,0,6,20.0
Jambaar Library,1,3,2,6,33.33333333333333
Jerry Di,1,5,0,6,20.0
Quran,2,4,0,6,50.0
Kali,3,3,0,6,100.0
Marca MP,2,4,0,6,50.0
Vibe2Vibe,2,4,0,6,50.0
Kendrick Lamar,1,5,0,6,20.0
Pierce The Veil,2,4,0,6,50.0
Rich Homie Quan,2,3,0,5,66.66666666666666
EBG EJizzle,2,3,0,5,66.66666666666666
